city,companyFullName,companyId,createTime,positionId,positionName,salary,positiondesc,workyear
成都,成都国信安信息产业基地有限公司,88496,今天 13:27,4426443,数据挖掘工程师,9k-18k,"['1.负责基于网络安全日志，访问日志，应用程序日志，开展告警融合关联挖掘、安全分析等业务。', '要求：', '1.具有良好的统计学、数学、人工智能和数据挖掘知识基础。', '2.具备扎实的计算机网络、信息安全基本理论和知识。', '3.至少熟悉一种数据挖掘工具(Mahout,Spark MLlib)', '4熟悉Hadoop平台，了解MapReduce编程', '5.熟练掌握至少一门编程语言:JAVA,Python,R', '6.对海量数据挖掘、深度学习有浓厚兴趣,从事过大数据安全分析工作的优先录用。']",1-3年
上海,上海聚泛信息科技有限公司,143863,2018-06-10,4252849,数据挖掘,15k-20k,"['岗位职责：', '1.基于业务需求，持续进行数据模型和算法的分析优化；', '2.独立负责业务数据收集整理，搭建业务数据体系，结合业务对多种数据源进行深度诊断性组合分析、挖掘、深度分析。', '3.深入挖掘和分析海量互联网用户数据，挖掘用户行为特征，建立预测性模型；', '4.在业务出现指标异常状况时进行针对性的数据分析，迅速锁定问题源头并提出解决方案。', '岗位要求：', '1.本科及以上学历，数学类、统计类、计算机类专业优先；', '2.熟悉lr，决策树，随机森林，boosting等主流算法；', '3.熟练使用python，SQL，对数据科学有一定兴趣；', '4.有金融数据分析经验加分，名校加分，对分布式机器学习有了解加分']",1-3年
北京,北京众荟信息技术股份有限公司,169708,2018-05-24,4620420,数据挖掘高级工程师,15k-21k,"['岗位职责：\xa0', '1、数据产品的研发工作(偏向价格收益等数据分析和模型设计）；', '2、参与项目相关系统架构的设计及详细设计；\xa0', '3、按照开发规范与流程，基于JAVA及相关数据挖掘技术的编码、测试；\xa0', '职位要求：', '1. 本科或本科以上学历，熟悉大规模数据挖掘、机器学习、分布式计算等相关算法和技术，并具备相关实际工作经验。', '2. 对数据结构和算法设计有较为深刻的理解，有较强编程能力（JAVA ，Python优先）', '3. 优秀的分析和解决问题的能力，对挑战性问题充满激情，有较强的学习能力，并且能够快速实现数学模型。', '4. 良好的团队合作精神，较强的沟通能力。']",1-3年
北京,新华网股份有限公司,6364,2018-06-11,2770809,NLP/数据挖掘工程师,13k-18k,"['岗位职责：', '1. 基于用户属性和行为，构建用户画像；', '2. 探索推荐系统不同场景下的推荐实现，改进用户体验；', '3. 负责NLP基础研发以及非结构化文本知识抽取、图文数据自动分类、舆情分析，事件摘要，知识图谱等；', '4. 智能推荐、搜索、人工智能方向的技术研发。', '\xa0', '岗位要求：', '1. 计算机、数学相关专业硕士或以上学历，3年以上相关工作经验；', '2. 有自然语言处理、数据挖掘、机器学习、深度学习等相关的项目经验，较强的算法基础；', '3. 熟练掌握C/C++,JAVA,Python,shell中的一种或多种语言；', '4. 熟悉linux开发环境，熟练使用python或其他脚本语言；', '5. 熟悉NoSQL数据库，有海量数据处理、分布式开发经验，能够使用hadoop、spark、storm等；', '6. 有较强的分析问题解决问题能力，良好的团队合作意识。', '\xa0', '\xa0']",3-5年
深圳,深圳小步网络科技有限公司,130397,今天 09:35,4331772,数据挖掘工程师（推荐方向）,20k-40k,"['岗位职责：', '1、负责内容特征工程、用户特征工程、推荐算法模型等系统', '2、分析海量用户行为数据，内容资讯数据，增加有效的用户特征和内容资讯特征。改进模型和召回、排序策略，提升推荐效果。', '岗位要求：', '1.3年以上服务器开发经验，精通Go/Python/C++/Java \xa0 ', '2.熟悉机器学习的基本方法 ( 降维、分类、回归、排序等等 )', '3.熟悉并行计算或者分布式计算，熟悉 Spark. Storm 等计算平台，有相关性能优化经验，并熟悉其上下游环境，包括 Flume. Kafka. \xa0 Hive. HBase 等；', '4.对数据敏感，分析数据，抽象问题，对于把大数据分析的结果能够应用到实际业务场景产生商业价值具有强烈的热情', '5.具备良好的团队精神和沟通意识，责任心强，工作认真细致，有良好的抗压能力；', ' \xa0 \xa0 ', '加分项：', '1.做过推荐系统或搜索引擎，并对常见的推荐算法、搜索排序有自己的理解；', '2.自然语言处理、分类/聚类、数据挖掘等相关经验； \xa0 \xa0', '\xa0 \xa0 \xa0 \xa0\xa0']",3-5年
成都,咪咕文化科技有限公司,213786,2018-06-07,4227904,数据挖掘工程师,15k-30k,"['岗位职责：', '1、负责收集、整合和挖掘运营数据，根据用户特征、消费行为进行用户细分；', '2、负责音乐推荐系统、推荐算法设计、推荐模型优化、推荐算法开发与推荐场景设计等；', '3、负责用户画像标签指标设计、模型设计、模型训练、模型开发以及应用推广；', '4、应用先进的统计建模、数据挖掘、机器学习方法建立数据模型解决实际问题，并研发创新方法以解决常规算法不能解决的问题；', '5、上级交办大数据挖掘与开发相关的其他事宜。', '任职要求：', '1、全日制大学本科及以上学历，计算机科学与技术、计算机软件、数据挖掘、应用数学、自然语言处理等相关专业；', '2、3年以上大数据挖掘或推荐系统设计经验，有2个以上大数据挖掘成功应用案例（面试时需提供相关案例）；', '3、有良好的编程能力、扎实的Java语言基础、能熟练使用JAVA等编程语言进行开发，熟悉Hadoop、MapReduce、Spark、Hbase、Hive、Storm、zookeeper等开源分布式系统，对其中1个或多个分布式系统有应用经验；', '4、熟悉至少一种Oracle、mysql、MongoDB等关系型或非关系型数据库技术，熟悉使用数据挖掘相关算法（决策树、聚类、逻辑回归、贝叶斯等）以及自然语言处理技术；', '5、熟悉推荐系统架构、常用推荐算法以及推荐系统评价标准，熟练使用SPSS Modeler、R或Python等；', '6、品德优秀，身体健康，踏实敬业、严谨负责，具备良好的沟通协调能力、主动性、承压性、执行力和团队合作精神。']",3-5年
北京,百度在线网络技术（北京）有限公司,1575,2018-05-30,4103974,数据挖掘开发工程师,15k-30k,"['工作职责', '-运用数据挖掘/统计学习的理论和方法，深入挖掘和分析海量商业数据 ', '-从系统应用的角度，利用数据挖掘/统计学习的理论和方法解决实际问题 ', '-商业内容（文本广告、网页、图片、FLASH）的识别和反作弊技术研究 ', '-指导和推进算法的工程化和评估优化', '任职资格', '-相关专业硕士（含）以上学历，拥有扎实的计算机基础理论知识 ', '-2年以上机器学习、数据挖掘或图像识别的研究经验或工作经验 -熟悉机器学习的基本算法，对算法有较强的实现能力；对数据挖掘有足够的兴趣 ', '-至少精通一门编程语言，熟练使用常用算法和数据结构，具备基本的工程编码能力 ', '-具有统计或数据挖掘背景，并对机器学习算法和理论有较深入的研究优先；有大规模数据挖掘经验者优先；在互联网广告技术、NLP技术、图像识别、反作弊等方面有工作经验者优先 ', '-务实、逻辑思维缜密、工作细致有耐心']",3-5年
成都,科学出版社成都有限责任公司,103479,今天 09:23,2713932,数据挖掘应用工程师,10k-16k,"['职位描述：', '1、负责数据挖掘算法的开发和优化；', '2、可以应用大数据、数据挖掘及分析建模等技术；', '3、挖掘数据内在的模式和特征，发现潜在规律，建立数据挖掘算法并优化。', '任职要求：', '1、数学，统计学，计算机专业硕士及以上学历；', '2、具备深厚的统计学、数学、数据挖掘理论基础和相关项目经验，熟悉R、SAS、SPSS等统计分析软件之一，参与过完整的数据采集.整理.分析和建模工作 ；', '3、良好的逻辑分析能力、分析问题和解决问题的能力，对数据敏感，良好的沟通；', '4、熟悉决策树、聚类、逻辑回归，关联分析、SVM，贝叶斯等数据挖掘算法；', '5、具有海量数据下机器学习和算法实施相关经验，熟悉hadoop，hive，map-reduce，spark优先', '我们的福利有：', '周末双休、弹性工作制、免费咖啡、扁平化管理、生日福利、过节福利、定期体检、员工活动、年终奖、还有超长春节假期哦~~']",1-3年
上海,上海初生网络科技有限公司,40729,2018-06-06,3983552,数据挖掘工程师,12k-24k,"['岗位职责：\xa0', '1、通过海量数据挖掘、机器学习等方法进行核心策略的研究及开发；', '2、用户分析、理解及建模，持续提升用户产品体验；', '3、高性能、高并发的机器学习、数据挖掘方法及架构的研发；', '4、算法及数据挖掘在新业务领域的推进及应用。', '岗位要求：\xa0', '1.\xa0良好的机器学习基础，熟悉协同过滤等推荐算法；\xa0', '2.\xa0扎实的编程经验，熟练运用Java/Python/R/C++等编程语言中的一种以上；\xa0', '3. 对算法、海量数据挖掘有业界实践经验，熟悉机器学习、数据挖掘方法优先考虑；', '4.\xa0善于独立思考，逻辑清晰，热爱挑战，具备快速学习能力；\xa0', '5.\xa0热爱数据，对通过数据来分析和解决问题充满激情；\xa0', '6.\xa0具备良好的沟通能力和团队合作精神；\xa0', '7.\xa0计算机、数学或统计等相关专业本科以上学历。']",1-3年
北京,北京搜狐新媒体信息技术有限公司,106303,2018-06-11,4364335,数据挖掘经理,15k-30k,"['工作职责', '1、负责会员和个性化产品的数据挖掘分析，依据分析结果，将业务需求转化为指标体系和分析报告，为产品运营提升提供方向上的判断决策；', '2、组建和管理数据挖掘团队，制定合理的数据指标和模型。', '任职资格', '1、研究及以上学历，数学、统计学、计算机相关专业；', '2、5年以上数据挖掘分析工作经验，能深入挖掘、提炼商业需求，能够运用统计，数据挖掘，机器学习的方法解决实际业务问题；', '3、有有互联网公司数据挖掘、算法应用等方向团队管理经验，良好的项目团队管理、方向、进度把控能力；', '4、熟练掌握Python/R/java/scala等一或多种编程语言；熟悉Spark, Hive；熟悉常见机器学习算法；\xa0', '5、具有良好的逻辑推理能力，对解决具有挑战性问题充满激情，具备优秀的团队合作精神，能够承受工作压力；', '6、优秀的沟通协调能力，能够整合跨组织资源，推动跨部门合作项目。']",5-10年
