,house_室,house_厅,house_厨,house_卫,architecture_acreage_,within_acreage_,floor_层,building_age_,unit_price,bargain_day_num_,adjust_price,take_look,attention,view_count_,Building_head_东,Building_head_东 东南,Building_head_东 东南 北,Building_head_东 北,Building_head_东 北 东北,Building_head_东 南,Building_head_东 南 北,Building_head_东 西,Building_head_东 西 北,Building_head_东北,Building_head_东南,Building_head_东南 北,Building_head_东南 南,Building_head_北,Building_head_南,Building_head_南 北,Building_head_南 西,Building_head_南 西北 北,Building_head_南 西南,Building_head_暂无数据,Building_head_西,Building_head_西 西北,Building_head_西北,Building_head_西南,Building_head_西南 东北,Building_head_西南 西,decorate_situation_其他,decorate_situation_毛坯,decorate_situation_简装,decorate_situation_精装,period_int_40年,period_int_50年,period_int_70年,floor_楼_中楼层,floor_楼_低楼层,floor_楼_地下室,floor_楼_底楼层,floor_楼_高楼层,Family_structure_Loft,Family_structure_复式,Family_structure_平层,Family_structure_暂无数据,building_types_塔楼,building_types_暂无数据,building_types_板楼,building_structure_未知结构,building_structure_砖混结构,building_structure_钢混结构,building_structure_钢结构,Equipped_elevator_无,Equipped_elevator_暂无数据,Equipped_elevator_有,house_age_暂无数据,house_age_满两年,house_age_满五年,Trading_ownership_商品房,Trading_ownership_房改房,usage_house_别墅,usage_house_商住两用,usage_house_普通住宅,usage_house_车库,houseing_belog_共有,houseing_belog_暂无数据,houseing_belog_非共有
1580,2.0,2.0,1.0,1.0,0.23898586866167912,0.23898586866167912,1.0,0.993554784333168,0.3832674431028956,0.1327345891409576,1,0,0.021722265321955005,0.1327345891409576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1581,4.0,1.0,1.0,1.0,0.3983097811027985,0.3983097811027985,1.0,0.9970252850768468,0.34191687146062616,0.21531463229719486,1,0,0.030256012412723042,0.21531463229719486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1582,2.0,2.0,1.0,1.0,0.2842546411748406,0.2842546411748406,1.0,0.9890927119484383,0.34501549310823804,0.23246048871522715,1,0,0.023273855702094646,0.23246048871522715,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1583,3.0,2.0,1.0,2.0,0.4364089775561097,0.4364089775561097,1.0,0.9975210708973723,0.27814937493321934,0.11541377500437394,0,0,0.011636927851047323,0.11541377500437394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1584,2.0,1.0,1.0,1.0,0.14269880853422,0.14269880853422,9.0,0.9910758552305404,0.2982476760337643,0.0012830232693765674,0,0,0.0015515903801396431,0.0012830232693765674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1585,2.0,1.0,1.0,1.0,0.14609310058187863,0.14609310058187863,9.0,0.9900842835894893,0.2583929907041351,0.2721175715868665,1,0,0.13110938712179984,0.2721175715868665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1586,2.0,1.0,1.0,1.0,0.17355915766140204,0.17355915766140204,1.0,0.993554784333168,0.4264665028314991,0.030734239225520498,0,0,0.01008533747090768,0.030734239225520498,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1587,4.0,2.0,1.0,2.0,0.49528955389304513,0.49528955389304513,1.0,0.991571641051066,0.45355272999252055,0.08123870064734356,1,0,0.0007757951900698216,0.08123870064734356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1588,1.0,1.0,1.0,1.0,0.11776115267387087,0.11776115267387087,1.0,0.9930589985126426,0.36768885564697085,0.08322155479092552,1,0,0.016291698991466253,0.08322155479092552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1589,3.0,2.0,1.0,1.0,0.25869354391798277,0.25869354391798277,9.0,0.9866137828458106,0.5865370231862378,0.1896541669096635,0,0,0.015515903801396431,0.1896541669096635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
