,House_door_model,architecture_acreage,within_acreage,Building_head,decorate_situation,heating_method,period_int,floor,Family_structure,building_types,building_age,building_structure,Ladder_household_proportion,Equipped_elevator,house_id,listing_time,house_age,Trading_ownership,usage_house,houseing_belog,house_site,bargain_time,bargain_price,unit_price,listing_price,bargain_day_num,adjust_price,take_look,attention,view_count
1505,2室1厅1厨1卫        ,64.01㎡          ,暂无数据         ,南 北   ,其他     ,        ,70年           ,中楼层(共11层)          ,暂无数据              ,塔楼       ,2002 ,钢混结构  ,一梯六户           ,有           ,GZ0003979258          ,2018-04-18         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,和馨雅居 2室1厅 64.01平米,2018.04.25 成交,220,34370,225,7,1,0,2,224
1506,2室2厅1厨1卫        ,80.88㎡          ,暂无数据         ,东北   ,简装     ,        ,70年           ,高楼层(共17层)          ,暂无数据              ,塔楼       ,2008 ,钢混结构  ,两梯六户           ,有           ,GZ0003103354          ,2017-09-25         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,富力城南区 2室2厅 80.88平米,2018.04.25 成交,210,25965,225,212,1,0,63,3486
1507,2室2厅1厨1卫        ,80㎡          ,暂无数据         ,北   ,其他     ,        ,70年           ,低楼层(共32层)          ,暂无数据              ,塔楼       ,2013 ,钢混结构  ,三梯八户           ,有           ,GZ0003262023          ,2017-11-29         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,岭南新世界锦云峰 2室2厅 80平米,2018.04.25 成交,315,39375,320,147,1,0,11,1996
1508,3室2厅1厨1卫        ,84㎡          ,暂无数据         ,南   ,简装     ,        ,70年           ,高楼层(共8层)          ,暂无数据              ,塔楼       ,1996 ,钢混结构  ,一梯四户           ,无           ,GZ0003797611          ,2017-09-19         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,竹园小区(海珠) 3室2厅 84平米,2018.04.25 成交,224,26667,230,218,0,0,11,621
1509,2室2厅1厨1卫        ,83.41㎡          ,64.45㎡         ,南   ,其他     ,        ,70年           ,高楼层(共18层)          ,暂无数据              ,塔楼       ,未知 ,钢混结构  ,一梯四户           ,暂无数据           ,GZ0003947369          ,2018-04-13         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,亚运城媒体北村 2室2厅 83.41平米,2018.04.25 成交,233,27935,240,12,0,0,7,667
1510,3室1厅1厨2卫        ,99㎡          ,暂无数据         ,南   ,其他     ,        ,70年           ,高楼层(共32层)          ,暂无数据              ,塔楼       ,2013 ,钢混结构  ,三梯八户           ,有           ,GZ0003627502          ,2018-03-06         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,岭南新世界锦云峰 3室1厅 99平米,2018.04.25 成交,480,48485,495,50,1,0,10,1089
1511,2室1厅1厨1卫        ,63.9㎡          ,暂无数据         ,南   ,简装     ,        ,70年           ,低楼层(共13层)          ,暂无数据              ,塔楼       ,未知 ,钢混结构  ,一梯十户           ,有           ,GZ0003893006          ,2018-04-07         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,华侨城(番禺) 2室1厅 63.9平米,2018.04.25 成交,155,24257,160,18,0,0,39,471
1512,3室2厅1厨2卫        ,113㎡          ,暂无数据         ,东南   ,其他     ,        ,70年           ,高楼层(共18层)          ,平层              ,塔楼       ,2008 ,钢混结构  ,两梯四户           ,有           ,GZ0002996455          ,2018-05-01         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,四季花园 3室2厅 113平米,2018.04.25 成交,455,40266,455,暂无数据,1,0,4,4773
1513,1室1厅1厨1卫        ,39.78㎡          ,暂无数据         ,东南   ,精装     ,        ,70年           ,高楼层(共9层)          ,暂无数据              ,塔楼       ,1997 ,钢混结构  ,一梯六户           ,无           ,GZ0003399118          ,2018-01-21         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,聚德花园 1室1厅 39.78平米,2018.04.25 成交,128,32177,130,94,1,0,79,1718
1514,1室1厅1厨1卫        ,35.78㎡          ,暂无数据         ,南 北   ,简装     ,        ,70年           ,低楼层(共32层)          ,平层              ,塔楼       ,2000 ,钢混结构  ,两梯六户           ,有           ,GZ0003834701          ,2018-03-30         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,金碧花园第三金碧 1室1厅 35.78平米,2018.04.25 成交,160,44718,170,26,0,0,21,902
1515,1室1厅0厨0卫        ,17㎡          ,暂无数据         ,暂无数据   ,其他     ,        ,70年           ,中楼层(共9层)          ,平层              ,塔楼       ,2000 ,钢混结构  ,一梯八户           ,无           ,GZ0001330993          ,2016-01-28         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,迎翠春庭 1室1厅 17平米,2018.04.25 成交,59,34706,40,818,0,0,2,213
1516,2室2厅1厨1卫        ,78㎡          ,暂无数据         ,西南   ,其他     ,        ,70年           ,低楼层(共18层)          ,暂无数据              ,塔楼       ,2006 ,钢混结构  ,两梯四户           ,有           ,GZ0003765679          ,2018-03-18         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,四季花园 2室2厅 78平米,2018.04.25 成交,298,38206,310,38,0,0,10,890
1517,1室1厅1厨1卫        ,83.09㎡          ,暂无数据         ,东南   ,精装     ,        ,70年           ,高楼层(共45层)          ,暂无数据              ,塔楼       ,2010 ,钢混结构  ,四梯八户           ,有           ,GZ0003992714          ,2018-04-20         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,星汇云锦 1室1厅 83.09平米,2018.04.25 成交,450,54159,690,5,0,0,5,90
1518,2室2厅1厨1卫        ,64.06㎡          ,暂无数据         ,西   ,其他     ,        ,70年           ,高楼层(共7层)          ,暂无数据              ,塔楼       ,1996 ,钢混结构  ,一梯四户           ,无           ,GZ0003818582          ,2018-03-26         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,汇雅花园 2室2厅 64.06平米,2018.04.25 成交,107,16704,110,30,0,0,94,1116
1519,1室0厅1厨1卫        ,28㎡          ,暂无数据         ,西   ,简装     ,        ,70年           ,高楼层(共32层)          ,暂无数据              ,塔楼       ,2003 ,钢混结构  ,两梯七户           ,有           ,GZ0003626908          ,2018-03-06         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,金碧花园第一金碧 1室0厅 28平米,2018.04.25 成交,120,42858,126,50,0,0,24,953
1520,1室1厅1厨1卫        ,48.35㎡          ,暂无数据         ,北   ,其他     ,        ,70年           ,高楼层(共7层)          ,暂无数据              ,塔楼       ,未知 ,钢混结构  ,一梯五户           ,暂无数据           ,GZ0003808735          ,2018-03-25         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,南华东路 1室1厅 48.35平米,2018.04.25 成交,103,21303,108,31,1,0,36,1690
1521,2室1厅1厨1卫        ,43㎡          ,暂无数据         ,东南   ,其他     ,        ,70年           ,高楼层(共8层)          ,暂无数据              ,塔楼       ,未知 ,钢混结构  ,一梯三户           ,无           ,GZ0003838198          ,2018-03-30         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,杉木栏路 2室1厅 43平米,2018.04.23 成交,125,29070,139,24,1,0,88,918
1522,2室1厅1厨1卫        ,50.03㎡          ,暂无数据         ,北   ,精装     ,        ,70年           ,高楼层(共9层)          ,暂无数据              ,塔楼       ,1998 ,钢混结构  ,一梯四户           ,无           ,GZ0003918544          ,2018-04-09         ,满五年       ,商品房          ,普通住宅          ,暂无数据           ,润南花园 2室1厅 50.03平米,2018.04.25 成交,188,37578,190,16,0,0,4,231
1523,3室2厅1厨1卫        ,81.85㎡          ,68.87㎡         ,北   ,其他     ,        ,70年           ,中楼层(共15层)          ,暂无数据              ,塔楼       ,2002 ,钢混结构  ,两梯六户           ,有           ,GZ0003764335          ,2018-03-18         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,旭景家园C区 3室2厅 81.85平米,2018.04.23 成交,314,38363,323,36,0,0,24,946
1524,1室0厅1厨1卫        ,44.52㎡          ,暂无数据         ,北   ,其他     ,        ,70年           ,中楼层(共18层)          ,暂无数据              ,塔楼       ,2013 ,钢混结构  ,两梯八户           ,有           ,GZ0003913865          ,2018-04-09         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,富力金港城东区 1室0厅 44.52平米,2018.04.25 成交,58,13028,60,16,1,0,14,556
