,house_室,house_厅,house_厨,house_卫,architecture_acreage_,within_acreage_,Building_head,decorate_situation,period_int,floor_楼,floor_层,Family_structure,building_types,building_age_,building_structure,Ladder_household_proportion,Equipped_elevator,house_age,Trading_ownership,usage_house,houseing_belog,bargain_price,unit_price,listing_price,bargain_day_num_,adjust_price,take_look,attention,view_count_
928,1.0,1.0,1.0,1.0,31.06,31.06,南,其他,70年,中楼层,9.0,暂无数据,塔楼,1997,钢混结构,一梯四户,无,暂无数据,商品房,普通住宅,暂无数据,113.0,36382,110.0,469.0,0,0,20,469.0
929,3.0,1.0,1.0,1.0,76.66,76.66,南,其他,70年,中楼层,6.0,暂无数据,板楼,2000,未知结构,一梯两户,暂无数据,暂无数据,商品房,普通住宅,暂无数据,202.0,26351,220.0,194.0,1,0,5,194.0
930,2.0,1.0,1.0,1.0,47.0,47.0,南 北,其他,70年,低楼层,5.0,暂无数据,板楼,2000,钢混结构,一梯一户,暂无数据,暂无数据,商品房,普通住宅,暂无数据,148.0,31490,156.0,120.0,0,0,1,120.0
931,1.0,1.0,1.0,1.0,45.67,45.67,东,其他,70年,底楼层,1.0,暂无数据,塔楼,1998,钢混结构,一梯八户,暂无数据,暂无数据,商品房,普通住宅,暂无数据,285.0,62405,290.0,370.0,1,0,6,370.0
932,2.0,1.0,1.0,1.0,81.95,81.95,东南,其他,70年,底楼层,1.0,暂无数据,塔楼,2000,钢混结构,两梯八户,有,暂无数据,商品房,普通住宅,暂无数据,295.0,35998,295.0,122.0,0,0,8,122.0
933,3.0,2.0,1.0,2.0,119.69,119.69,东北,其他,70年,底楼层,1.0,暂无数据,塔楼,2009,钢混结构,两梯四户,有,暂无数据,商品房,普通住宅,暂无数据,380.0,31749,388.0,1505.0,1,0,9,1505.0
934,4.0,2.0,1.0,2.0,155.24,155.24,南,其他,70年,底楼层,1.0,暂无数据,塔楼,2003,钢混结构,两梯三户,有,暂无数据,商品房,普通住宅,暂无数据,790.0,50889,810.0,128.0,0,0,3,128.0
935,1.0,2.0,1.0,1.0,49.98,49.98,北,其他,70年,底楼层,1.0,暂无数据,塔楼,1996,钢混结构,两梯十一户,有,暂无数据,商品房,普通住宅,暂无数据,150.0,30013,158.0,1951.0,1,0,44,1951.0
936,3.0,2.0,1.0,1.0,84.0,84.0,北,其他,70年,底楼层,1.0,暂无数据,塔楼,2003,钢混结构,两梯五户,有,满五年,商品房,普通住宅,暂无数据,359.0,42739,363.0,387.0,0,0,8,387.0
937,2.0,1.0,1.0,1.0,52.78,52.78,西南,其他,40年,中楼层,6.0,暂无数据,板楼,2000,钢混结构,一梯七十户,暂无数据,满五年,商品房,商住两用,暂无数据,52.0,9853,53.0,3997.0,0,0,197,3997.0
938,1.0,1.0,1.0,1.0,45.0,45.0,东南,简装,70年,高楼层,6.0,暂无数据,板楼,2001,钢混结构,一梯两户,无,满两年,商品房,普通住宅,暂无数据,137.5,30556,140.0,316.0,0,0,8,316.0
939,3.0,2.0,1.0,1.0,93.4,93.4,南,其他,70年,高楼层,9.0,暂无数据,塔楼,1996,钢混结构,一梯六户,无,满五年,商品房,普通住宅,暂无数据,250.0,26767,250.0,774.0,1,0,38,774.0
940,2.0,2.0,1.0,1.0,77.58,68.62,南 北,其他,70年,中楼层,8.0,暂无数据,塔楼,1996,钢混结构,一梯三户,无,暂无数据,商品房,普通住宅,暂无数据,217.0,27972,235.0,581.0,0,0,3,581.0
941,3.0,1.0,1.0,1.0,98.01,98.01,北,毛坯,70年,底楼层,1.0,暂无数据,塔楼,2013,钢混结构,两梯四户,有,暂无数据,商品房,普通住宅,暂无数据,318.0,32446,320.0,5132.0,1,0,20,5132.0
942,1.0,1.0,1.0,1.0,39.11,35.34,南 北,精装,70年,高楼层,9.0,暂无数据,塔楼,1986,钢混结构,一梯六户,无,暂无数据,商品房,普通住宅,暂无数据,180.0,46025,185.0,979.0,0,0,38,979.0
943,2.0,1.0,1.0,1.0,56.59,51.13,南,其他,70年,高楼层,7.0,暂无数据,塔楼,2000,钢混结构,一梯三户,暂无数据,暂无数据,商品房,普通住宅,暂无数据,150.0,26507,150.0,2636.0,1,0,116,2636.0
944,1.0,1.0,1.0,1.0,37.96,37.96,南 北,其他,70年,高楼层,9.0,暂无数据,塔楼,1997,钢混结构,一梯七户,无,暂无数据,商品房,普通住宅,暂无数据,124.0,32666,126.0,1720.0,1,0,14,1720.0
945,2.0,2.0,1.0,1.0,76.75,76.75,东南,其他,70年,底楼层,1.0,暂无数据,塔楼,2009,钢混结构,两梯四户,有,暂无数据,商品房,普通住宅,暂无数据,240.0,31271,245.0,1571.0,1,0,41,1571.0
946,2.0,2.0,1.0,1.0,71.19,71.19,北,其他,70年,底楼层,1.0,暂无数据,塔楼,2010,钢混结构,两梯六户,有,暂无数据,商品房,普通住宅,暂无数据,176.6,24807,178.0,1717.0,1,0,61,1717.0
947,2.0,1.0,1.0,1.0,64.0,64.0,南,其他,70年,底楼层,1.0,暂无数据,塔楼,2012,钢混结构,三梯七户,有,暂无数据,商品房,普通住宅,暂无数据,225.0,35157,230.0,1999.0,1,0,84,1999.0
948,3.0,1.0,1.0,1.0,75.85,75.85,东 西,简装,70年,高楼层,9.0,暂无数据,塔楼,1990,钢混结构,一梯五户,无,暂无数据,商品房,普通住宅,暂无数据,275.0,36256,280.0,1608.0,0,0,44,1608.0
949,2.0,2.0,1.0,1.0,52.0,52.0,南 北,其他,70年,中楼层,6.0,暂无数据,塔楼,1990,钢混结构,一梯四户,无,暂无数据,商品房,普通住宅,暂无数据,170.0,32693,170.0,1.0,1,0,1,1.0
